leagueId,queueType,tier,rank,summonerId,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak
0bf3877f-5d8b-4f70-8e58-f6c586feb805,RANKED_SOLO_5x5,GOLD,I,x1LG8kJB5bSOHYUabwYv6Dk_1vaeazjtlnyhLN3qfjtIX8TE,75,68,67,False,False,True,False
788957fa-969d-410f-8f07-1c3a399ff4e3,RANKED_SOLO_5x5,GOLD,I,UAPH3jbptBzH5WdUI3WBrVqRW8jFxWvFW5ORHwEUTLGK650o,39,7,9,False,False,False,False
73bdfe14-d988-472b-b08d-08c31637f075,RANKED_SOLO_5x5,GOLD,I,cJdjMo0_bLchYHklJF0Y-a_ba48nNwcekSEfIYyphm2ZZ40r,80,11,10,False,False,False,False
a5611cf4-18c2-45ad-84f2-490805cf34cd,RANKED_SOLO_5x5,GOLD,I,duJpl-z-zpezvruGP7sckTuUodY9zD_YeoL6jwQU4D2c83qC,5,5,8,False,False,False,False
e2186f5a-033e-430d-98d3-a87c56cf55ae,RANKED_SOLO_5x5,GOLD,I,chv1H0skSFctAMOKC8pSaDujp4NMDwAk7BdjAckjgEe43lyy,77,12,9,False,False,False,False
ef962828-34dd-47f1-a873-6ff5e470368e,RANKED_SOLO_5x5,GOLD,I,fYWZNCP1ENhD1GCjSvbMmAqNZFDkvB4Lj-fsCbOCk4Grsm6a,62,60,62,False,False,True,False
4e3965d5-b1a6-4e41-98d6-e40ee88cf475,RANKED_SOLO_5x5,GOLD,I,xaKs5TtlG5lXfv2lShqKzHVPsDytSXV8X5GCS3MdanQdtZWP,68,68,55,False,False,True,False
669dce89-c6cf-4dd9-a118-a9b1e3acbe33,RANKED_SOLO_5x5,GOLD,I,F75YuESuo4XzZCD9ZZfSyPsXHq9xDU-ono-ObBc-dr9kecSY,68,16,11,False,False,False,False
56ad3ab8-cd7d-4b3a-86b8-d55b6713e81c,RANKED_SOLO_5x5,GOLD,I,gJf09laK6VTrCD05v34TFnkwJWcYaDFD76iFT3Mozagu27Dc,35,35,33,False,False,False,True
08324d02-5414-4551-b59e-7fec5512a1e3,RANKED_SOLO_5x5,GOLD,I,iqP3dcIz5w1B-9uXHU2lnUmvz-x_pMqbddKlZTvfRiQ2tYmE,50,40,27,False,False,False,False
